root	kanji	band	gloss
hibisk	芙蓉	pejvo	【植】ハイビスカス,フヨウ（属）
absces	脓肿	pejvo	［自］【病】膿瘍を形成する,化膿する
klerikal	教权	pejvo	【政】教権擁護の,聖職者主義の
anastomoz	吻合	piv	【解】【植】【PIV】Kunig^a punkto de du vaskuloj, nervoj, muskolfi
karpel	心皮	piv	【植】【PIV】Florfolio, sur kiu formig^as unue la ovoloj, poste
platen	白金	pejvo	［他］白金メッキする
koc^	红虫	piv	【動】【PIV】1 Sp. (Specio) (Dactylopius coccus, sin. (sinonimo
gurd	摇琴	pejvo	［他］手回しオルガンで演奏する;《転》機械的に次々と作り出す
gasteroste	刺鱼	pejvo	【魚】イトヨ（属）;トゲウオ,=dornfis^o
stafet	接力	pejvo	【軍】騎馬伝令;【運】駅伝選手,リレー選手,リレー走者
puber	发育	piv	【生】【PIV】Atinginta periodon de la vivo inter infaneco k ado
anemon	银莲	pejvo	{Ｏ}【植】アネモネ
placent	胎盘	pejvo	【解】胎盤;【植】胎座
anglikan	圣公	pejvo	聖公会の,イングランド国教会の
prote	帝王花	piv	【植】【PIV】1 G. (Genro) (Protea el proteacoj) de arbustoj kun
ekskomunik	开除	pejvo	{Ｏ}［他］【宗】破門する;《転》追放する,除名する
mentor	导师	pejvo	{Ｏ}（青年の）良き指導者,助言者
suna	圣行	pejvo	【イ】スンナ（マホメットの言行にもとづく口伝律法）
simfoni	交响	pejvo	交響曲の
mile	黄米	pejvo	《Ｎ》【植】キビ（黍）（種）,>>panico
eu^kariot	真核	piv	【生】【PIV】Ano de eu^kariotoj.
resurs	资源	pejvo	【環】=ric^fonto（資源）
peoni	牡丹	pejvo	{Ｏ}【植】ボタン（牡丹）（属）,シャクヤク（芍薬）
rendiment	效率	pejvo	【理】効率
bizon	野牛	pejvo	{Ｏ}【動】バイソン,ヤギュウ（野牛）,>>Amerika bizono,>>Eu^ropa bizono
sagu	西米	pejvo	{Ｏ}【料】サゴ,沙穀米（さごべい）（サゴヤシから採取した白い澱粉）
vals	圆舞	pejvo	［自］ワルツを踊る
kreozot	木馏	pejvo	［他］クレオソートを注入する
vehikl	载体	piv	【化】【PIV】1 Substanco, en kiun oni metas au^ solvas efikanta
kardj	胃门	piv	【解】【PIV】(ostium cardiacum) Ezofaga aperturo de la stomako.
pleokro	多色	piv	【地質】【理】【PIV】(pp (se paroli pri) neizotropa kristalo) Alpre
kalejdoskop	万花筒	pejvo	万華鏡のような,千変万化する
prokuror	检察	pejvo	【法】検事,検察官
nekton	自游	piv	【生態】【PIV】Tuto de la pelagaj vivuloj aktive nag^antaj, send
interpunkci	标点	pejvo	［他］句読点を打つ
emfizem	气肿	pejvo	【病】気腫（きしゅ）;=pulma emfizemo
balkon	阳台	pejvo	{Ｏ}【建】バルコニー
pleu^ronekt	比目鱼	pejvo	{Ｏ}【魚】ツノガレイ（属）,>>platfis^o
vink	蔓春	pejvo	{Ｏ}【植】ツルニチニチソウ（蔓日々草）（属）
arnik	羊菊	pejvo	{Ｏ}【植】ウサギギク（兎菊）（属）;アルニカ,=monta arniko
cirkumcid	割礼	pejvo	{Ｏ}［他］【宗】割礼を行う;【医】（男子の）包皮を切除する
tore	斗牛	piv	【PIV】(ntr (netransitiva)) Batali en cirko kontrau^ tau^ro.
spiroket	螺旋体	pejvo	【生】スピロヘータ
simpat	交感	piv	【解】【PIV】Unu el la du partoj de la au^tonoma nervosistemo, 
kurator	监护	pejvo	［他］後見する
kolin	胆碱	piv	【化】【PIV】Nitrogena bazo, OH-CH 2-CH 2-N(CH 3) 3 ^+, kiu gra
penicilin	青霉素	pejvo	{Ｏ}【薬】ペニシリン
avokad	鳄梨	pejvo	{Ｏ}【果】アボカド（の実）
modlur	线脚	pejvo	【建】（建物・家具の）繰形（くりかた）,モールディング
unitari	一神	piv	【キ】【PIV】Apartenanta al tiu skolo de kristanismo, kiu emfaz
manikur	美甲	pejvo	［他］マニキュアを施す,=manflegi
laktuk	生菜	pejvo	{Ｏ}【植】レタス,チシャ;【植】アキノノゲシ（属）
kamomil	甘菊	pejvo	{Ｏ}【植】カミツレ,カミルレ（_Matricaria chamomilla_）;カミツレ茶,カモミール茶（乾燥花を
mung	擦鼻	pejvo	［他］洟（はな）をかんでやる,洟をかむ,=nazpurigi
rizom	根茎	pejvo	【植】根茎,地下茎
alteraci	蚀变	piv	【地質】【PIV】Kemia s^ang^ado de mineraloj k sekve de petroj fa
porfir	斑岩	pejvo	{Ｏ}【鉱】斑岩（はんがん）
patriark	族长	pejvo	【聖】（古代イスラエルの）族長;【キ】総大司教（カトリック）,総大主教（ギリシア正教）;《転》長老
kolik	绞痛	pejvo	{Ｏ}【病】疝痛（せんつう）,差し込み;腹痛
bajt	字节	pejvo	【情】バイト,=bitoko
safran	藏红花	pejvo	サフランの;サフラン色（黄橙色）の
kimon	和服	pejvo	{Ｏ}【服】（日本の）着物,和服;キモノ（着物風の化粧着・部屋着）
singult	逆气	pejvo	{Ｏ}［自］しゃっくりする
ahims	不害	piv	【PIV】Principo de multaj hindaj kulturaj k ideaj sistemoj, 
fosforesk	磷光	pejvo	リン光の;リン光を発する
subvenci	补贴	pejvo	［他］〜に補助金を与える
lofi	蛤蟆鱼	piv	【動】【PIV】G. (Genro) (Lophius) de maraj fis^oj kun grandaj k
zigot	合子	piv	【生】【PIV】La rezulto de la unuig^o inter du gametoj: zigoto 
fibrin	纤蛋白	pejvo	【化】フィブリン,繊維素
mizogin	厌女	piv	【PIV】Homo, kiu malamas, evitadas la virinojn au^ havas pri
kam	凸轮	pejvo	【技】【PIV】Rotacianta disko, kun elstaraj^o(j), kiu(j) c^e c^
au^kci	拍卖	pejvo	［他］競売にかける
orgasm	高潮	pejvo	{Ｏ}【医】オーガズム,オルガスムス
hortikultur	园艺	pejvo	園芸,=g^ardenkultivado
kvestor	财务官	pejvo	{Ｏ}【史】（ローマの）財務官;（議会などの）財務官,出納委員;（イタリアの）警察署長
ekvizet	问荆	pejvo	【植】スギナ（属）,>>mang^ebla ekvizeto,>>polura ekvizeto
bigarel	脆樱	piv	【植】【PIV】Rug^a k blanka c^erizo, kun dolc^a, tre firma karn
falun	贝岩	piv	【地質】【PIV】Detrita sedimenta petro malmulte kohera, konsista
plankton	浮游	pejvo	【生】プランクトン
akvarel	水彩	pejvo	水彩画をかく
psitak	鹦鹉	piv	【動】【PIV】Papago (unuspecia g. (genro) Psittacus erithacus),
polip	息肉	pejvo	{Ｏ}【動】ポリプ;【医】ポリープ,茸腫（じょうしゅ）
dezajn	设计	piv	【技】【PIV】Formo k aspekto de artefarita objekto, kutime util
gazon	草坪	pejvo	芝生（しばふ）,=razeno,=herbotapis^o
le	背风	piv	【PIV】Tiu flanko de s^ipo, kiu estas s^irmita kontrau^ la v
telfer	缆路	pejvo	=kablovojo（ロープウエー）
ostag^	人质	pejvo	［自］人質になっている
geodezi	测地	pejvo	{Ｏ}測地学
lavend	香草	pejvo	{Ｏ}【植】ラベンダー（属）
eu^genik	优生	pejvo	【学】優生学
ambos	铁床	pejvo	{Ｏ}鉄床（かなとこ）;【解】きぬた骨
hura	万岁	pejvo	［自］歓呼する,万歳を叫ぶ
bum	帆杆	pejvo	【海】ブーム,帆げた
pistak	开心果	pejvo	{Ｏ}【果】ピスタチオ（果実・種子）
dun	沙丘	pejvo	砂丘
prot	质子	pejvo	【PIV】Laborestro en pasintecaj presejoj.
bojkot	抵制	pejvo	{Ｏ}［他］ボイコットする
knid	刺胞	piv	【動】【PIV】Speco de c^elo, trovig^anta c^e diversaj celenteru
labil	易变	pejvo	【理】不安定な,=nestabila
celsius	摄氏	pejvo	【理】セ氏の,摂氏の,=celsia
gliptik	玉雕	pejvo	【機】宝石彫刻術
laf	熔岩	pejvo	{Ｏ}【地質】溶岩
sfinks	狮面	pejvo	スフィンクスの;《転》なぞの
karj	山核桃	piv	【植】【PIV】G. (Genro) (Carya el juglandacoj) de falfoliaj, mo
pekan	山核桃	piv	【植】【PIV】Speco de nukso, frukto de pekankarjo, enhavanta ma
fasm	竹节虫	piv	【動】【PIV】Vulgara nomo (Phasma) de fasmulo: bastonet fasmo, 
solfeg^	唱名	piv	【楽】【PIV】Sistemo, kiu asocias c^iun tonon de la gamo kun ap
s^ibu	柿涩	piv	【PIV】Bruna, taninoric^a, strange odoranta suko el nematura
au^reol	光环	pejvo	{Ｏ}【宗】後光;《転》栄光
polis	保单	pejvo	{Ｏ}【商】保険証券,保険証書;《転》保険契約
astat	无定	pejvo	【理】無定位の,>>stata
sakrament	圣礼	pejvo	{Ｏ}【キ】サクラメント,秘跡,機密,礼典
cimbal	铜盘	pejvo	{Ｏ}【楽】シンバル
tamburin	铃鼓	pejvo	［自］タンバリンをたたく
lisp	咬舌	pejvo	［他］舌もつれで発音する（s^をs、j^をz、sをthとするように）
muskardin	僵病	piv	【PIV】Mortiga malsano de la rau^poj de bombikso, kau^zata d
mikoz	菌症	pejvo	【病】真菌症,糸状菌症（たむしなど）
grenat	石榴	pejvo	【鉱】ざくろ石,ガーネット
epope	史诗	pejvo	{Ｏ}【文】（英雄を題材にした）叙事詩
epik	史诗	piv	【PIV】Poezio, kiu esprimas k revivigas la sperton de tuta p
obstetrik	产科	pejvo	【医】産科学,=akus^oscienco,>>ginekologio
toast	烤包	pejvo	【料】トーストパン,=rostpano
g^iraf	颈鹿	pejvo	{Ｏ}【動】キリン
sfing	天蛾	piv	【動】【PIV】1 G. (Genro) (Sphinx k parencaj g-oj (genroj)) de 
dierez	分音	pejvo	［他］二重母音を分けて発音する
demagog	煽动	pejvo	{Ｏ}デマゴーグ,扇動政治家,民衆扇動家
demagogi	煽动	pejvo	デマの,扇動的な
satirus	羊神	pejvo	【神】サテュロス（ギリシャ神話の半人半獣の森の神）;《転》好色家
matriark	母系	piv	【PIV】Rilata al matriarkeco: matriarkaj restaj^oj.
pedikur	修脚	piv	【PIV】(tr (transitiva)) Flegi la piedojn k kuraci ties epid
gri	碎粒	pejvo	{Ｏ}（麦・トウモロコシの）ひき割り
lime	青柠	piv	【植】【PIV】1 Sp. (Specio) de citruso (Citrus aurantiifolia), 
laser	激光	pejvo	{Ｏ}【理】レーザー
rozari	念珠	pejvo	{Ｏ}【宗】ロザリオ,数珠（じゅず）;《転》数珠つなぎになったもの
sumo	相扑	pejvo	【運】相撲;>>lukto
makrop	袋鼠	pejvo	【動】カンガルー（属）,>>kanguruo
kanguru	袋鼠	pejvo	{Ｏ}【動】カンガルー（一般名）,>>makropo
mandaren	官话	pejvo	{Ｏ}【史】（中国清朝の）官吏
podagr	痛风	pejvo	{Ｏ}【病】痛風
stau^l	失速	pejvo	［自］【空】失速する
repudi	休妻	pejvo	［他］【法】（一方的に）離縁する,=eksedzigi,=eksedzinigi
operator	算子	piv	【数】【PIV】1 Funkcio, kies argumentaro k celaro konsistas el 
letargi	嗜睡	pejvo	嗜眠（しみん）性の;無気力な,無感動な
kapitol	议堂	pejvo	（米国の）州議会議事堂,（政治的中心都市の）市庁舎
lol	毒麦	pejvo	{Ｏ}【植】ドクムギ（属）,ライグラス
ejgen	特征	piv	【数】【PIV】(pp (se paroli pri) operatoro T) Nombro c tia, ke 
dajmon	神灵	piv	【PIV】Malsupera dio, g^enio, kiu bone au^ malbone influis l
koni	毒参	pejvo	【植】ドクニンジン（属）
statut	章程	pejvo	会則の
angin	咽炎	pejvo	{Ｏ}【病】アンギナ（口峡炎）
enurez	遗尿	pejvo	【病】遺尿症
lakmus	石蕊	pejvo	【化】リトマス
prajm	引爆	pejvo	［他］雷管を装着する;《転》口火を切る
volovan	酥盒	pejvo	【料】ボロバン（肉・魚のクリーム煮を詰めたパイ）,>>pastec^o
gimnosperm	裸子	pejvo	【植】裸子の,裸子植物の
inkub	梦魔	pejvo	夢魔,インクブス;悪夢
papilom	乳头瘤	pejvo	【医】乳頭腫（にゅうとうしゅ）
streptokok	链球菌	pejvo	【生】連鎖球菌
platform	纲领	pejvo	【PIV】1 Plialtigita ebena maso el teraj^oj, roko, cemento k
barit	重晶石	pejvo	【鉱】重晶石（硫酸バリウムから成る鉱物）
anamorfoz	变形	piv	【PIV】Desegnaj^o, kiu s^ajnas konfuza, sed prezentas regula
monofizit	一性	piv	【キ】【PIV】Homo, kiu kredas, ke estas nur unu naturo (nome la
timian	百里香	pejvo	{Ｏ}【植】タチジャコウソウ（立麝香草）（属）,タイム
narkotik	麻醉	pejvo	{Ｏ}【医】麻酔薬,=narkotaj^o
aspiraci	送气	piv	【語】【PIV】Karakterizaj^o (fonema au^ ne) de iuj plozivoj, ko
pletor	多血	pejvo	【医】多血症の;《稀》=>troabunda（過剰な）
rota	皇院	piv	【キ】【PIV】Eklezia tribunalo de la papo, i.a. (interalie, int
skizoid	分裂	pejvo	【心】分裂病質の
sternum	胸骨	pejvo	【解】胸骨
balg	风箱	pejvo	【機】じゃばら（蛇腹）
eskar	焦疤	piv	【医】【PIV】1 Mortig^inta parto de hau^to. 2 Nigreta hau^tkrus
ambigu	歧义	piv	【PIV】Tia, ke g^ia signifo estas duba. au^ ke g^i povas hav
uncial	书体	piv	【PIV】Speco de majuskla litero, uzata en la manuskriptoj gr
mileni	千年	piv	【PIV】1 Miljara dau^ro au^ datreveno. 2 Miljara reg^ado de 
duplikat	副本	pejvo	副本,写し;【法】謄本
prospektor	探矿	piv	【PIV】Homo, kiu pli-malpli science serc^as la ercohavajn re
kiropraktik	整脊	piv	【医】【PIV】Terapiista metodo konsistanta en la manipulado de 
simultan	同时	pejvo	【PIV】Samtempe, sammomente okazanta: simultana telegrafio; 
sofism	诡辩	pejvo	詭弁の
cug	铁杉	piv	【植】【PIV】G. (Genro) (Tsuga el pinacoj) de koniferaj arboj k
epoksi	环氧	piv	【化】【PIV】Triatoma ciklo, ege strec^a k reakciema: epoksirez
diazoni	重氮	piv	【化】【PIV】Organika salo kun g^enerala formulo R-N=N ^+ X ^−,
j^artel	吊袜	pejvo	【服】（サスペンダー式の）靴下留め,ガーター,=s^trumpos^elko
oratori	清唱剧	piv	【楽】【PIV】Verko, kutime religia, analoga al opero, sed sen a
junkr	地主	pejvo	【史】ユンカー（プロイセンの地主貴族）
arier	后卫	pejvo	【PIV】La malantau^a parto de armeo, tac^mento ks (kaj simil
harmonium	风琴	pejvo	{Ｏ}【楽】リードオルガン,ハーモニウム,>>orgeno
kolh^oz	农社	pejvo	【史】コルホーズ（旧ソ連の集団農場）
kvorum	足数	pejvo	{Ｏ}【法】（会議の）定足数
adiant	铁线草	pejvo	【植】クジャクシダ（属）,アジアンタム,=harfiliko
veterinar	兽医	pejvo	獣医の,=bestkuraca
lagoftalm	兔眼	piv	【医】【PIV】Okulo ne tute fermebla pro mallonga supera palpebr
j^akard	提花	piv	【服】【PIV】Mekanismo ebliganta la plej komplikajn plektojn en
benjet	炸糕	piv	【PIV】Pastobulo, fritita k entenanta delikataj^on (legoman,
karmezin	深红	pejvo	深紅色の
trogon	咬鹃	piv	【動】【PIV】G. (Genro) (Trogon) de S-Amerikaj birdoj kun mallo
ancilostom	钩虫	piv	【動】【PIV】G. (Genro) (Ancylostoma) de sangosuc^aj nematodoj,
kolimat	准直	pejvo	［他］【理】視準する
iktiosau^r	鱼龙	pejvo	【古生】イクチオサウルス,魚竜（ぎょりゅう）
buf	蛤蟆	pejvo	{Ｏ}【動】ヒキガエル（蟇蛙）（属）,ガマ（蝦蟇）
stafilokok	葡萄球菌	pejvo	【生】ブドウ球菌
korak	渡鸦	pejvo	【鳥】ワタリガラス
kantarel	鸡油菌	pejvo	【菌】アンズタケ（属）
duet	二重	pejvo	{Ｏ}【楽】デュエット,二重奏曲,二重唱曲
koopt	增补	piv	【PIV】(tr (transitiva)) Aldoni kiel novan membron de komita
serenad	小夜曲	pejvo	［自］セレナーデを奏でる
dafn	瑞香	pejvo	【植】ジンチョウゲ（属）
legionel	军团菌	piv	【生】【PIV】G. (Genro) (Legionella) de eu^bakterioj, kiuj kau^
kontumac	缺席	piv	【法】【PIV】Vola foresto de akuzito for de la jug^onta instanc
hag^	朝拜	pejvo	【イ】メッカ巡礼,ハッジ
bilg^	舱底	pejvo	【海】ビルジ,船倉底
mejoz	减分	piv	【生】【PIV】Tuto de la du sinsekvaj dividig^oj de duploida nuk
iskiat	坐神	piv	【解】【PIV】Grava miksa nervo, sendanta motorajn fibrojn al mu
kornet	短号	pejvo	{Ｏ}【楽】コルネット
konfront	对质	pejvo	［他］【法】（法廷で）対質させる;《般》対決させる,=kontrau^starigi
arpeg^	散音	pejvo	［自］【楽】アルペジオで演奏する
eu^trof	富养	pejvo	【環】富栄養の
aleksi	失读	piv	【医】【PIV】Organika perturbo de la kapablo legi. -> agnozio, 
poligon	多角	pejvo	{Ｏ}【植】タデ（蓼）（属）;【数】多角形,=plurangulo;《古》=fagopiro（ソバ）
aloj	合金	pejvo	【化】合金
sonet	十四行诗	pejvo	{Ｏ}【文】ソネット,十四行詩
divorc	离婚	pejvo	［自］離婚する,=eksgeedzig^i
strongil	圆虫	piv	【動】【PIV】G. (Genro) (Strongylus) de nematodoj, parazitaj en
presbiterian	长老	pejvo	【キ】長老派の信徒
verumontan	精丘	piv	【解】【PIV】(colliculus seminalis) Elstaraj^o sur la interna p
numulit	钱虫	piv	【動】【PIV】G. (Genro) (Nummulites el numulitedoj) de foramini
filadelf	山梅花	pejvo	【植】バイカウツギ（属）
gofr	压花	piv	【技】【PIV】(tr (transitiva)) Enpremi per varma ilo (mal)relie
s^raman	苦僧	piv	【宗】【PIV】1 (ss (striktasence)) Hinda asketo ekster la brama
kameleon	变色龙	pejvo	カメレオンの;《転》無節操な,変わりやすい
h^ameleon	变色龙	pejvo	【動】=kameleono（カメレオン）
smut	黑穗病	pejvo	【植】黒穂病
bigarad	酸橙	piv	【植】【PIV】1 Subsp. de citruso (Citrus aurantium subsp. a.) h
rang^	调车	piv	【PIV】(tr (transitiva)) Apartigi k vicigi varvagonojn lau^ 
ankiloz	关节强直	pejvo	【病】関節強直（きょうちょく）
dentin	齿质	piv	【解】【PIV】(dentinum) Malmola substanco k histo de la dentoj 
titr	滴定	pejvo	［他］【化】滴定する
upas	毒木	piv	【PIV】Tre forta vegetaj^a veneno, uzata de Malajoj por vene
rangifer	驯鹿	pejvo	【動】=boaco（トナカイ）
midz	舔吸	piv	【PIV】(tr (transitiva)) Voluptocele leki k suc^i ies peniso
sesdeknau^	舔吸	piv	【PIV】(fm (familiara, familiare)) Reciproke leki k/au^ suc^
morfem	语素	pejvo	【語】形態素
remont	补马	pejvo	［他］（騎兵隊に）新馬を配備する
docent	讲师	pejvo	（大学の）講師
atas^e	随员	pejvo	アタッシェ,大使館付の専門職員,>>ambasadano
epiteli	上皮	pejvo	【解】上皮,>>endotelio
regurgit	反流	piv	【医】【PIV】Reveno en la gorg^on au^ bus^on, sen voma penado, 
gencian	龙胆	pejvo	{Ｏ}【植】リンドウ（属）
hesperornit	黄昏鸟	piv	【動】【PIV】G. (Genro) (Hesperornis) de dentohavaj birdoj el m
homotet	位似	piv	【数】【PIV】(pp (se paroli pri) geometria figuro) Estanta gran
homoteti	位似	piv	【PIV】Bildigo, kiu grandigas au^ malgrandigas je certa skal
sufle	蛋奶酥	pejvo	【菓】スフレ
belon	针鱼	piv	【動】【PIV】G. (Genro) (Belone) de belonoformaj fis^oj, kun do
sinergi	协同作用	pejvo	【解】（複数器官の）共同作用;【薬】相乗作用;【社】共働,シナジー
rezident	驻官	piv	【政】【PIV】Altranga funkciulo, komisiita de protektanta s^tat
balistik	弹道	pejvo	弾道学の,弾道の
cipre	宝贝	piv	【動】【PIV】G. (Genro) (Cypraea) de gastropodoj kun belkolora,
televizi	电视	pejvo	=televida（テレビ放送の）
miasm	毒气	pejvo	毒気を発する
arkegoni	颈卵器	piv	【植】【PIV】Inseksa reproduktorgano de la briofitoj k vaskulpl
alergi	过敏	pejvo	{Ｏ}【病】アレルギー
prestig^	威望	pejvo	威信のある,信望のある;名高い
serg^ent	军士	pejvo	{Ｏ}【軍】軍曹
psok	咬虫	piv	【動】【PIV】G. (Genro) (Psocus) de malgrandaj insektoj iom sim
korvet	护舰	pejvo	{Ｏ}【軍】コルベット（船）
neritik	浅海	piv	【地理】【地質】【PIV】La parto de maro, kus^anta super la kontinent
konklav	秘会	pejvo	【カ】教皇選挙会議,コンクラーベ
fag^	食菌	piv	【生】【PIV】Mll de bakteriofag^o.
dromedar	单峰驼	pejvo	{Ｏ}【動】ヒトコブラクダ,=unug^iba kamelo
hidatid	包虫	piv	【動】【PIV】Larvo de ekinokoko, en formo de granda veziko kun 
gajak	愈疮木	pejvo	【植】=gvajako（ユソウボク）
gvajak	愈疮木	pejvo	【植】ユソウボク（属）,グアヤク
minoritat	少数	pejvo	少数派,マイノリティー,=malplimulto,><majoritato;【法】=neplenag^eco（未成年
peritone	腹膜	pejvo	{Ｏ}【解】腹膜
c^ir	卷须	piv	【植】【PIV】1 Maldika, volva organo de grimpaj plantoj, per ki
karaben	马枪	pejvo	{Ｏ}【軍】騎兵銃;カービン銃
efedrin	麻黄碱	piv	【化】【PIV】Alkaloido el efedro, ekstraktata i.a. (interalie, 
kapstan	绞盘	pejvo	【機】キャプスタン;【海】巻き揚げ機
fideikomis	信委	piv	【法】【PIV】Posedaj^o, bieno, monsumo ks (kaj simile, kaj simi
fen	焚风	pejvo	【気】フェーン（山から吹きおろす暖かく乾燥した風）
mumi	干尸	pejvo	{Ｏ}ミイラ
lentan	五色梅	piv	【植】【PIV】1 G. (Genro) (Lantana el verbenacoj) de plantoj – 
centau^r	半人马	pejvo	【神】ケンタウロス
lem	引理	pejvo	【数】補助定理;【論】副命題
fau^l	违规	pejvo	［自］【運】反則する
aksiom	公理	pejvo	公理の,自明の
fau^n	兽群	pejvo	【動】動物相,ファウナ,=bestaro
hormon	激素	pejvo	{Ｏ}【生】ホルモン
stimulin	激素	piv	【生】【化】【PIV】Organisma substanco (precipe pp (se paroli pri)
ekstrapol	外推	pejvo	［他］【数】=eksterpoli（補外する）
agoni	垂死	pejvo	{Ｏ}［自］断末魔の苦しみを味わう,死に苦悶する;《転》最後が迫る
kompiler	编译	pejvo	［他］【情】=traduki（コンパイルする）
kaprimulg	夜鹰	pejvo	【鳥】ヨタカ（属）
alte	立葵	pejvo	{Ｏ}【植】タチアオイ（立葵）（属）
alce	立葵	piv	【植】【PIV】G. (Genro) (Alcea el malvacoj) de du-k plur-jaraj 
skrot	阴囊	pejvo	【解】陰嚢（いんのう）,=testikujo
melas	糖蜜	pejvo	{Ｏ}糖蜜
file	里脊	piv	【PIV】1 Karnoric^a peco de bovo, bovido, kapreolo ks (kaj s
tetanos	破伤风	piv	【医】【PIV】Infekta malsano, kau^zata de la toksino de la teta
frog	辙叉	piv	【PIV】Centra parto de trakforko au^ trakokrucaj^o, konsista
vikari	副祭	pejvo	{Ｏ}【カ】助任司祭
koron	日光环	pejvo	【天】【PIV】La ekstera parto de la suna atmosfero, etendig^ant
insinu	影射	piv	【PIV】(tr (transitiva)) 1 Lerte sugesti, subinspiri: insinu
terminal	终端	pejvo	【情】端末（データ端末）
alburn	白鱼	pejvo	【魚】ブリーク（ヨーロッパ産のコイ科の淡水魚）
kastor	河狸	pejvo	{Ｏ}【動】ビーバー（属）;ビーバーの毛皮
pastern	系部	piv	【PIV】Parto de c^evalkruro super la hufo, responda al la un
presbiop	老花	pejvo	【病】老眼の,>>hipermetropa,>>miopa
kalkulus	结石	pejvo	【医】【PIV】S^toneto el organikaj au^ neorganikaj substancoj, 
litiaz	结石	piv	【医】【PIV】Formig^o de s^tonetoj (kalkulusoj) en unu glando, 
regent	摄政	pejvo	{Ｏ}【政】摂政
emeritur	退休金	pejvo	退職年金,=emerita pensio
piton	巨蛇	pejvo	【動】ニシキヘビ（錦蛇）（属）
karis	假虎刺	piv	【植】【PIV】G. (Genro) (Carissa el apocinacoj) de 37 sp-oj (sp
apokalips	末启	pejvo	黙示録の;《転》難解な
koklus^	百日咳	pejvo	{Ｏ}【病】百日咳（ぜき）
g^el	凝胶	pejvo	【化】ゲル,>>koloido,>>solo
vipur	毒蛇	pejvo	{Ｏ}【動】クサリヘビ（鎖蛇）（属）;《般》マムシ（蝮）
puding	奶冻	pejvo	{Ｏ}【料】プディング,プリン
ekvipotencial	等势	piv	【理】【PIV】= egalpotenciala.
sena	决明	piv	【植】【PIV】G. (Genro) (Senna el fabacoj), tre parenca al kasi
heliant	向日葵	pejvo	【植】ヒマワリ（向日葵）（属）,=sunfloro
nekromanci	招魂	pejvo	（死者の霊を呼び出して未来を占う）降霊占い,降霊術,口寄せ,>>spiritismo
ukij	浮世绘	pejvo	【美】浮世絵
sizigi	大潮	pejvo	【天】【植】【PIV】1 Konjunkcio au^ opozicio de astro rilate al Su
suspensori	吊带	piv	【医】【PIV】Bandag^o, uzata por subteni la skroton.
legac	遗赠	pejvo	【法】遺贈,遺贈物
anduj	肚肠	piv	【PIV】Porka tripkolbaso: fumaj^ita andujo.
tentakl	触手	pejvo	【動】触手,触腕
pirit	黄铁矿	pejvo	{Ｏ}【鉱】黄鉄鉱
verben	鞭草	pejvo	{Ｏ}【植】クマツヅラ（熊葛）（属）;【園】バーベナ,ビジョザクラ（美女桜）
kakemon	挂轴	pejvo	【日】掛け物,掛け軸
turban	头巾	pejvo	{Ｏ}【服】ターバン
limed	甜柠	piv	【植】【PIV】1 Sp. (Specio) de citruso (Citrus limetta), arbo k
mamut	巨象	pejvo	マンモスの;巨大な
piment	多香果	pejvo	［他］【料】オールスパイスを入れる
kulvert	暗渠	piv	【PIV】Subvoja kondukilo au^ eta ponteto, kun spano suba je 
skorpen	蝎鱼	piv	【動】【PIV】G. (Genro) (Scorpaena) de fis^oj el la ordo de sko
vitral	彩窗	pejvo	ステンドグラス
okcipit	后脑	pejvo	【解】後頭部,=postkranio
tetr	琴鸡	pejvo	{Ｏ}【鳥】クロライチョウ（黒雷鳥）（種）
liken	地衣	pejvo	{Ｏ}【植】地衣;【病】苔蘚（たいせん）
involukr	总苞	pejvo	【植】総苞
dinosau^r	恐龙	pejvo	【古生】恐竜
gonad	性腺	piv	【解】【PIV】Organo de plurc^eluloj (i.a. (interalie, inter ali
salam	腊肠	pejvo	【料】サラミソーセージ,>>kolbaso
kurkuli	象甲	pejvo	【虫】ゾウムシ（科）,=bekskarabo;シギゾウムシ（属）,>>kalandrao
cili	纤毛	pejvo	【動】繊毛;【植】細毛
kaos	混乱	pejvo	混沌の;混沌とした,混乱した,無秩序の,=h^aosa
h^aos	混乱	pejvo	=kaosa（混沌とした）
korset	束腰	pejvo	{Ｏ}【服】コルセット
kori	绒膜	piv	【解】【動】【PIV】1 Ekstera parto de la placento, plejofte havant
ksantom	黄瘤	piv	【医】【PIV】Flava hau^ta tumoreto el lipidplenaj c^eloj.
epiornit	隆鸟	pejvo	【鳥】エピオルニス（絶滅した大型の走鳥類の鳥）
resurekt	复活	pejvo	［自］【キ】=revivig^i（復活する）
fritilari	贝母	pejvo	【植】バイモ（貝母）（属）;ヨウラクユリ
brig^	桥牌	pejvo	［自］ブリッジをする
konfisk	没收	pejvo	{Ｏ}［他］没収する,押収する,取りあげる
ependim	室膜	pejvo	【解】（脳室の）上衣
divan	长椅	pejvo	{Ｏ}ディバン（背・肘掛けのないソファー）,長椅子,>>kanapo;（トルコの）国政会議
kanap	长椅	pejvo	{Ｏ}（数人がけの背もたれ付き）長椅子,ソファー;【料】カナッペ,=s^mirpano
kvik	麦草	piv	【植】【PIV】1 (ss (striktasence)) Sp. (Specio) ordinara elitri
heterodin	外差	piv	【PIV】Oscililo por suralmeti neamortizig^antan ondon de mal
metilen	亚甲	pejvo	【化】メチレン基
c^ement	牙骨质	piv	【解】【PIV】1 Malmola substanco, formanta la eksteran tavolon 
